loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z)
2024-06-22T16:31:04.030-07:00,1,1719099062.999167,37.57125121942203,-122.3007296957295,2.915205,0,0.9878286,240.2554733722255,180,3.370636533230648,4.739551286107127,-9999,586575.8055875,0.4120635986328125,-0.040435791015625,-0.9101715087890625,586575.8055875,6.125270374468528e-06,0.00146420591045171,0.006803045049309731,586574.912700625,-63.12538146972656,-402.6663513183594,-824.4755859375,,,,,,
2024-06-22T16:31:04.055-07:00,2,,,,,,,,,,,,586575.8256865001,0.418365478515625,-0.0543975830078125,-0.905059814453125,586575.8256865001,0.0013928331900388,-0.0001432780700270087,0.002918291836977005,586574.912700625,-63.12538146972656,-402.6663513183594,-824.4755859375,,,,,,
2024-06-22T16:31:04.064-07:00,3,,,,,,,,,,,,586575.8457845,0.415496826171875,-0.056182861328125,-0.9075164794921875,586575.8457845,0.001877794857136905,-0.0005941512063145638,0.006147641222923994,586574.912700625,-63.12538146972656,-402.6663513183594,-824.4755859375,,,,,,
2024-06-22T16:31:04.084-07:00,4,1719099063.999157,37.57125121942203,-122.3007296957295,2.915205,0,0.982747,240.2554733722255,180,3.370735088100214,4.739481195092863,-9999,586575.8658835001,0.409393310546875,-0.0464630126953125,-0.911346435546875,586575.8658835001,0.003527356777340174,8.921589324017987e-05,0.004161189310252666,586574.912700625,-63.12538146972656,-402.6663513183594,-824.4755859375,,,,,,
2024-06-22T16:31:04.104-07:00,5,,,,,,,,,,,,586575.8859815,0.420257568359375,-0.0466461181640625,-0.9073486328125,586575.8859815,-8.016114588826895e-05,0.0002047970920102671,0.004990497604012489,586574.912700625,-63.12538146972656,-402.6663513183594,-824.4755859375,,,,,,
2024-06-22T16:31:04.124-07:00,6,,,,,,,,,,,,586575.9060805,0.41339111328125,-0.0579681396484375,-0.91143798828125,586575.9060805,0.004018976353108883,-0.001650627236813307,0.005819805897772312,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.144-07:00,7,,,,,,,,,,,,586575.9261785001,0.4148712158203125,-0.0477294921875,-0.909698486328125,586575.9261785001,0.001442101667635143,-0.0001094559193006717,0.007110373582690954,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.165-07:00,8,,,,,,,,,,,,586575.9462775,0.419525146484375,-0.0471649169921875,-0.9067535400390625,586575.9462775,0.001218662480823696,-7.5101139373146e-05,0.005933522712439299,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.184-07:00,9,,,,,,,,,,,,586575.9663755001,0.4140777587890625,-0.05340576171875,-0.911376953125,586575.9663755001,0.002886067610234022,0.0005427522119134665,0.004504736978560686,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.207-07:00,10,,,,,,,,,,,,586575.9864745,0.4145050048828125,-0.052642822265625,-0.910400390625,586575.9663755001,0.002886067610234022,0.0005427522119134665,0.004504736978560686,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.224-07:00,11,,,,,,,,,,,,586576.0065725,0.4185638427734375,-0.046600341796875,-0.9076995849609375,586576.0065725,0.001302285818383098,0.001306014135479927,0.005330849438905716,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.245-07:00,12,,,,,,,,,,,,586576.0266715001,0.41473388671875,-0.052093505859375,-0.9105377197265625,586576.0266715001,0.002764094853773713,-0.0006383596919476986,0.005618470720946789,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.265-07:00,13,,,,,,,,,,,,586576.0467695,0.4131011962890625,-0.052886962890625,-0.9091949462890625,586576.0467695,0.002735332818701863,0.001452754368074238,0.004630171693861485,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.285-07:00,14,,,,,,,,,,,,586576.0668685001,0.4172821044921875,-0.0478363037109375,-0.907501220703125,586576.0668685001,0.001219727797433734,-0.0001214401418110356,0.005144960712641478,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.305-07:00,15,,,,,,,,,,,,586576.0869665,0.4146575927734375,-0.047760009765625,-0.9090423583984375,586576.0869665,0.001583781908266246,-7.057376933516935e-05,0.004803543444722891,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.325-07:00,16,,,,,,,,,,,,586576.1070655,0.4153594970703125,-0.0546722412109375,-0.910736083984375,586576.1070655,0.001359810004942119,-0.0003520698810461909,0.005082643125206232,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.345-07:00,17,,,,,,,,,,,,586576.1271635001,0.4156951904296875,-0.050506591796875,-0.9096832275390625,586576.1271635001,0.001932656043209136,-0.0001645833544898778,0.003348658792674541,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.365-07:00,18,,,,,,,,,,,,586576.1472625,0.4159393310546875,-0.0486907958984375,-0.9090423583984375,586576.1472625,0.002562493551522493,-0.0005044027348048985,0.004776911810040474,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.385-07:00,19,,,,,,,,,,,,586576.1673605001,0.413543701171875,-0.0520172119140625,-0.908416748046875,586576.1673605001,0.002402437618002295,-0.001056209672242403,0.00569969741627574,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.407-07:00,20,,,,,,,,,,,,586576.1874595,0.4143218994140625,-0.051513671875,-0.909393310546875,586576.1874595,0.003979827743023634,0.0004727110790554434,0.004987035412341356,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.425-07:00,21,,,,,,,,,,,,586576.2075575,0.4158172607421875,-0.04656982421875,-0.9095001220703125,586576.2075575,0.00262241461314261,0.0006322344415821135,0.005398760084062815,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.445-07:00,22,,,,,,,,,,,,586576.2276565001,0.4150543212890625,-0.05206298828125,-0.909423828125,586576.2276565001,0.002403769176453352,8.974852971732616e-05,0.005542038008570671,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.466-07:00,23,,,,,,,,,,,,586576.2477545,0.41534423828125,-0.051666259765625,-0.90948486328125,586576.2477545,0.002612028270959854,-0.0006673881434835494,0.004248807206749916,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.486-07:00,24,,,,,,,,,,,,586576.2678535001,0.416259765625,-0.048248291015625,-0.9082183837890625,586576.2678535001,0.00119629199616611,0.0006527407676912844,0.00487278588116169,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.506-07:00,25,,,,,,,,,,,,586576.2879515,0.4142608642578125,-0.0513153076171875,-0.909637451171875,586576.2879515,0.002373675350099802,0.0003744404530152678,0.005402222275733948,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.526-07:00,26,,,,,,,,,,,,586576.3080495,0.415802001953125,-0.0515594482421875,-0.9104766845703125,586576.2879515,0.002373675350099802,0.0003744404530152678,0.005402222275733948,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.546-07:00,27,,,,,,,,,,,,586576.3281485001,0.415863037109375,-0.0488128662109375,-0.9116058349609375,586576.3281485001,0.002681004349142313,-0.001907622325234115,0.006158293690532446,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.566-07:00,28,,,,,,,,,,,,586576.3482465,0.415130615234375,-0.050048828125,-0.9093017578125,586576.3281485001,0.002681004349142313,-0.001907622325234115,0.006158293690532446,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.586-07:00,29,,,,,,,,,,,,586576.3683455001,0.4150543212890625,-0.0523223876953125,-0.91070556640625,586576.3683455001,0.002192314248532057,0.0003840278368443251,0.007181480061262846,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.606-07:00,30,,,,,,,,,,,,586576.3884435,0.4161376953125,-0.05029296875,-0.9084930419921875,586576.3884435,0.002608832670375705,0.0003424825263209641,0.004406466148793697,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.627-07:00,31,,,,,,,,,,,,586576.4085425,0.416351318359375,-0.0487213134765625,-0.90850830078125,586576.4085425,0.0006833671359345317,-0.000177899157279171,0.005392368417233229,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.647-07:00,32,,,,,,,,,,,,586576.4286405001,0.414947509765625,-0.052093505859375,-0.9115142822265625,586576.4286405001,0.003493002150207758,-0.0004175836511421949,0.005973736755549908,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.667-07:00,33,,,,,,,,,,,,586576.4487395,0.4162750244140625,-0.05078125,-0.91046142578125,586576.4487395,0.003112702630460262,0.0004916195175610483,0.004339354578405619,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.687-07:00,34,,,,,,,,,,,,586576.4688375001,0.415740966796875,-0.0498046875,-0.9091033935546875,586576.4688375001,0.002582733519375324,0.000571248063351959,0.003894340479746461,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.707-07:00,35,,,,,,,,,,,,586576.4889365,0.4168853759765625,-0.0511627197265625,-0.909027099609375,586576.4889365,0.002424541860818863,0.0008732505375519395,0.004627242218703032,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.727-07:00,36,,,,,,,,,,,,586576.5090345,0.4156341552734375,-0.052337646484375,-0.908477783203125,586576.5090345,0.0003217098710592836,0.0006122607155703008,0.004473844077438116,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.747-07:00,37,,,,,,,,,,,,586576.5291335001,0.4159088134765625,-0.04986572265625,-0.909332275390625,586576.5291335001,0.001866076956503093,0.0009108011145144701,0.00606321869418025,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.767-07:00,38,,,,,,,,,,,,586576.5492315,0.4150543212890625,-0.0503082275390625,-0.909454345703125,586576.5492315,0.002182460390031338,-0.0002735066518653184,0.002897519152611494,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.787-07:00,39,,,,,,,,,,,,586576.5693305001,0.4152679443359375,-0.0515289306640625,-0.908111572265625,586576.5693305001,0.002100967802107334,0.0002085255109705031,0.005360676907002926,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.807-07:00,40,,,,,,,,,,,,586576.5894285,0.4155731201171875,-0.0512847900390625,-0.90838623046875,586576.5894285,0.004736165516078472,0.001559014432132244,0.004710599314421415,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.827-07:00,41,,,,,,,,,,,,586576.6095275,0.4151611328125,-0.0492095947265625,-0.909515380859375,586576.6095275,0.002491387072950602,0.0004484763194341213,0.004960670135915279,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.848-07:00,42,,,,,,,,,,,,586576.6296255001,0.4168853759765625,-0.0512237548828125,-0.9071197509765625,586576.6296255001,0.002397910226136446,0.001445031142793596,0.004509796854108572,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.868-07:00,43,,,,,,,,,,,,586576.6497237501,0.4149169921875,-0.0504150390625,-0.9096832275390625,586576.6497237501,0.001402154332026839,0.0001222391001647338,0.005146825220435858,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.888-07:00,44,,,,,,,,,,,,586576.66982175,0.4156036376953125,-0.0478057861328125,-0.9076080322265625,586576.6497237501,0.001402154332026839,0.0001222391001647338,0.005146825220435858,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.908-07:00,45,,,,,,,,,,,,586576.68992075,0.4158935546875,-0.0509490966796875,-0.9100341796875,586576.68992075,0.001888980157673359,0.001276719383895397,0.003269296605139971,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.928-07:00,46,,,,,,,,,,,,586576.71001875,0.4150543212890625,-0.0514068603515625,-0.9093475341796875,586576.71001875,0.002497778739780188,0.001026115962304175,0.002894057193771005,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.948-07:00,47,,,,,,,,,,,,586576.73011775,0.4158935546875,-0.0499114990234375,-0.9102020263671875,586576.73011775,0.001424791174940765,0.0003640541108325124,0.004071706905961037,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.968-07:00,48,,,,,,,,,,,,586576.7502157501,0.4153900146484375,-0.0519256591796875,-0.9090728759765625,586576.7502157501,0.002002963330596685,0.00115421402733773,0.004859203472733498,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:04.988-07:00,49,,,,,,,,,,,,586576.77031475,0.4157867431640625,-0.0511322021484375,-0.9089202880859375,586576.77031475,0.003443467197939754,-0.0003560646437108517,0.00367702660150826,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:05.008-07:00,50,,,,,,,,,,,,586576.79041275,0.415679931640625,-0.04888916015625,-0.90972900390625,586576.79041275,0.002252768026664853,-0.0008290420519188046,0.006018477492034435,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:05.028-07:00,51,,,,,,,,,,,,586576.8105117501,0.4157867431640625,-0.05059814453125,-0.9093170166015625,586576.8105117501,0.002376604825258255,0.0004924184759147465,0.004699147772043943,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:05.048-07:00,52,,,,,,,,,,,,586576.83060975,0.415924072265625,-0.0503082275390625,-0.9098358154296875,586576.83060975,0.002880475018173456,-0.00136779947206378,0.00532419141381979,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:05.068-07:00,53,,,,,,,,,,,,586576.8507087501,0.4143829345703125,-0.0502166748046875,-0.9093780517578125,586576.8507087501,0.002112685702741146,-0.0003400856803636998,0.005257079843431711,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:05.089-07:00,54,1719099064.999146,37.57125121942203,-122.3007296957295,2.915205,0,0.9823469,240.2554733722255,180,3.371325565959851,4.739061189844918,-9999,586576.87080675,0.415618896484375,-0.04986572265625,-0.90850830078125,586576.87080675,0.001987250754609704,-0.0002798982313834131,0.004588626325130463,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:05.109-07:00,55,,,,,,,,,,,,586576.89090575,0.4174652099609375,-0.05084228515625,-0.908203125,586576.89090575,0.002420280827209353,0.0008498146780766547,0.006743922829627991,586575.9035385001,-63.15428161621094,-402.7659912109375,-825.0064697265625,,,,,,
2024-06-22T16:31:05.129-07:00,56,,,,,,,,,,,,586576.9110037501,0.415802001953125,-0.04986572265625,-0.9102783203125,586576.9110037501,0.003091397462412715,-0.001301220501773059,0.005899967160075903,586576.8943577501,-63.27540588378906,-402.6581115722656,-825.0945434570312,,,,,,
2024-06-22T16:31:05.149-07:00,57,,,,,,,,,,,,586576.93110275,0.4152069091796875,-0.0489501953125,-0.909942626953125,586576.93110275,0.001956624444574118,-0.0001366201613564044,0.004266650415956974,586576.8943577501,-63.27540588378906,-402.6581115722656,-825.0945434570312,,,,,,
